id,name,year,month,day,hour,text,location,lang
1.30286E+18,（公財）小田原市体育協会,2020,Sep,07,06:29:17,"新型コロナウイルスの影響で中々イベントができない中での開催でしたが、感染対策を行い、最後まで楽しんでいただきました✨
ご参加頂いたみなさん、ありがとうございました！そして、お疲れ様でした⭐️ 
#箱根駅伝 #箱根5区… https://t.co/eCFmI8nCPC",神奈川県小田原市,ja
1.30286E+18,World Up News,2020,Sep,07,06:29:13,【国際ニュースのポータルサイト】https://t.co/ZHMsrViF0D 新型コロナウイルスとの共生必要、迅速検査キット利用へ [社会] / https://t.co/99s4H7EtXq #国際ニュース #海外ニュース,Japan,ja
1.30286E+18,🦊ひろ(z)👸👶🎃⸜🌷︎⸝‍💙🌸🐷,2020,Sep,07,06:28:52,"その野生動物が絶滅するのは今は実効再生産が相対的に大きいB国であり、一方今は実効再生産が小さい(＝減少スピードが早い)A国では一定数までしか減少せず、環境が戻れば再度全国に生息地は拡大する

新型コロナウイルスも、その保護区となる… https://t.co/7MOeYq1huE",日本,ja
1.30286E+18,伊東 寿珠,2020,Sep,07,06:28:46,"アメブロを投稿しました。大阪梅田総合フェスタ★今年は新型コロナウイルス対策をして開催予定です。#大阪梅田
https://t.co/roposlFpWP",,ja
1.30286E+18,Nim🐉in Quarantine,2020,Sep,07,06:28:32,"やっぱりのぞみが止まらないから感染が広がらないのかな🤔🥺

特設サイト 都道府県別の新型コロナウイルス感染者マップ・感染者数｜NHK   https://t.co/ORHpGuew3R","Numazu,Shizuoka,Japan",ja
1.30286E+18,せきちゃんねる@衆議院議員せき健一郎YouTubeチャンネル,2020,Sep,07,06:28:18,【過去動画】2020年3月19日 ③地方創生委員会 新型コロナウイルスの影響 指定管理者制度について質問してみた。 #豊橋 #田原 #せき健一郎 #関健一郎 #国会中継 #youtube #動物園 #水族館 https://t.co/NnO2hHr5SN,愛知県豊橋市 田原市,ja
1.30286E+18,畑中智晴＠北海道,2020,Sep,07,06:28:17,東京都内の新型コロナウイルス新規感染者は７７人、久々に１００人台を割り込む　(時事通信ニュース) https://t.co/ZalogvbayL,北海道上川郡東神楽町,ja
1.30286E+18,考える猫,2020,Sep,07,06:28:12,"まぁ、似たような形をこれから大阪市もやりますからね😓

コロナ軽視のブラジル大統領、支持率上昇　失業者に現金 [新型コロナウイルス]：朝日新聞デジタル https://t.co/kOwjRv1yaz",逢坂,ja
1.30286E+18,POTTERY SHOP SOLa 宙,2020,Sep,07,06:28:05,『信楽セラミックアートマーケット 2020』に参加します☆開催日: 2020年9月 20(日)~ 22(火) 場所: 滋賀県立陶芸の森 太陽の広場。SOLa宙ブースNo.35(※新型コロナウイルス感染症の流行等の状況悪化の場合は1… https://t.co/Oqy3Qt2jZp,滋賀県甲賀市信楽町長野,ja
1.30286E+18,教皇様を崇めるチンパンジー,2020,Sep,07,06:28:04,@zeroyama_rush @rikuto_krbys ちなみに現在コロナウイルスの影響で鑑定が停止しておる・・・,宗教国家アルナベルツ　首都ラヘル　セスルムニル大神殿,ja
1.30286E+18,山口節生 偽造証拠で産経死刑高裁長検事も,2020,Sep,07,06:27:45,「を「パソナ」と「持続化」で検索すると以下のようになります。」。持続可能性は、地球温暖化阻止と新型コロナウイルス消滅による。 https://t.co/wJQDZAhNIx @wordpressdotcomより,日本 関東地方,ja
1.30286E+18,BMCVIT#0655,2020,Sep,07,06:27:33,この半年間，新型コロナウイルスのおかげで随分視聴率が稼げたコロナバブルのマスメディア，そろそろバブル終了ですよ．,Tokyo,ja
1.30286E+18,村崎竜聖,2020,Sep,07,06:27:25,東京都 新型コロナ 77人感染確認 100人下回るのは8月24日以来 | 新型コロナウイルス | NHKニュース https://t.co/n3UAtey66F,日本,ja
1.30286E+18,dabuton8448,2020,Sep,07,06:27:17,"報道されたらあっという間に売り切れそうだな
世界初、プラズマクラスター技術で、空気中に浮遊する
「新型コロナウイルス」の減少効果を実証
https://t.co/RlU5Q6SQMG",日本 川崎市,ja
1.30286E+18,東スポ政治・社会,2020,Sep,07,06:27:12,"フリマアプリ「メルカリ」に甲子園の土が出品されていることが騒がれている。この土は阪神甲子園球場とプロ野球阪神が、新型コロナウイルスの蔓延によって甲子園が中止になってしまった球児たちを励まそうと贈ったものだったが…。
https://t.co/rh5JEgLdii",東京都江東区,ja
1.30286E+18,（株）ジョーカンプランニング,2020,Sep,07,06:27:11,"【拡散希望】
2020年9月12日にロームシアター京都サウスホールで開催予定の｢ザ・ニュースペーパー京都2020｣は、新型コロナウイルス感染症拡大防止の為、公演を中止させていただきます。お客様には大変ご迷惑をおかけし、深くお詫び申… https://t.co/XFF4NvXUAJ",,ja
1.30286E+18,畑中智晴＠北海道,2020,Sep,07,06:27:07,新型コロナウイルス、保健所設置市以外の北海道内で新たに１人の感染を確認、 北海道内ではきょうこれまでに計６人の感染が確認された https://t.co/VKNcr4AnuM #NewsDigest,北海道上川郡東神楽町,ja
1.30286E+18,Dr. Tad,2020,Sep,07,06:27:04,"「プラズマクラスター技術で、空気中に浮遊する
「新型コロナウイルス※2」の減少効果を実証」

よくある電化製品の抗ウイルス効果というような漠然としたものではなく実際の新型コロナウイルスの減少効果を示している点が新しい。→
https://t.co/3qoackFk59",,ja
1.30286E+18,botch no subject,2020,Sep,07,06:26:30,"じゃあ何で延期したん

&gt;「新型コロナウイルスにかかわらず、東京五輪は開催するだろう」と述べた

コーツＩＯＣ調整委員長、東京五輪開催の意向　「コロナにかかわらず」 https://t.co/TwuM8RTxjN",,ja
1.30286E+18,旅する亜人ちゃん,2020,Sep,07,06:26:28,"質問：GoToトラベル旅行中に陽性でコロナ感染した場合は？

答え：
平日：最寄りの保健所へ
夜間・休日：新型コロナウイルスに関する帰国者・接触者相談センターに連絡

補償金は全旅協旅行災害補償制度に加入してた場合は対象一人につき… https://t.co/BJVLw1d22h",,ja
1.30286E+18,故郷求めて,2020,Sep,07,06:26:26,"新型コロナウイルス感染防止に向けた政府の対応を評価しますか？

との世論調査に「評価しない」と答えた場合、「もっと感染防止策を強化すべきだった」と「感染防止策は無駄なのでやめるべきだった」の相反する主張が一括りになっちゃうよね。",東京都,ja
1.30286E+18,はんこ屋さん21仙台,2020,Sep,07,06:26:26,"新型コロナウイルス感染症予防対策としてスタッフのマスク着用と換気扇・定期的な換気を実施しております。また、税別3,000円以上でしたら仙台市内近郊まで商品を配達させて頂きますのでご希望の際はお申し付けください。はんこ屋さん２１仙台本町店・仙台東口店・仙台法務局前店・仙台国分町店",本町店：仙台市青葉区本町1-5-14　東口店：仙台市宮城野区榴岡2-1-7,ja
1.30286E+18,Code for Fukushima,2020,Sep,07,06:26:24,"【福島県 新型コロナウイルス感染症対策サイト】
「帰国者・接触者相談センター相談件数」を更新しました。

2020/09/06は【112件】でした。
これまでの合計は【37,883件】です。… https://t.co/fHPfMoCvN0",日本 福島,ja
1.30286E+18,YSD,2020,Sep,07,06:26:18,"市内での新型コロナウイルス感染者の発生について/豊橋市

今日も豊橋はゼロだった…！ https://t.co/aNHgFU1gAe",日本 愛知 豊橋,ja
1.30286E+18,Shouichi,2020,Sep,07,06:26:08,"うおおおおお
最強！

世界初、プラズマクラスター技術で、空気中に浮遊する 「新型コロナウイルス」の減少効果を実証｜ニュースリリース：シャープ https://t.co/19Hq5okp7c",京都 長岡京市,ja
1.30286E+18,刺身塩の上物天然魚カツオ,2020,Sep,07,06:26:01,"『拡散希望』ワクチンも、大切ですが

当店の常連様の医師にトローチ（セチルピリジニウム塩化物水和物を含む）が通常のコロナウイルスに効く件を聞いてみたところ、「コロナウイルスに効くのであれば普通は新型にも効くはずだとおもうが」とおっ… https://t.co/TxKH8RZe3q",愛知県名古屋市西区庄内通４-６,ja
1.30286E+18,石井ちゃん | Servithinkの熱狂高卒人事✏️,2020,Sep,07,06:26:00,"会社が休業を認めてくれないというのも中々ヘビーですが、
・新型コロナウイルス感染症対応休業支援金・給付金
・みなし失業
あたりを調べてみるといいかも。超緊急事態なので、人事もまともな判断が出来ない状態にある可能性が高い。自ら役所へ… https://t.co/L828uvavN6",,ja
1.30286E+18,外房の名無しさん,2020,Sep,07,06:25:58,"千葉県、柏市保健所にて「柏+3」が確定

※クラスター2、一般1

柏市公式　新型コロナウイルスに関連する報道資料 令和2年9月
https://t.co/JaV9GD1VUd","Mobara City, Chiba Pref., Japan",ja
1.30286E+18,し ー の,2020,Sep,07,06:25:40,"早期に製品化される事を期待したいですね。

世界初、プラズマクラスター技術で、空気中に浮遊する「新型コロナウイルス」の減少効果を実証
https://t.co/fhUXk475UM",,ja
1.30286E+18,最新コロナニュース,2020,Sep,07,06:25:31,"［コロナニュース］東京都が取り組む新型コロナウイルス予防対策「高齢者施設向け対策動画」制作に参画
https://t.co/9yIzYSk21M
#日本
#安倍政権
#ニュース",,ja
1.30286E+18,カリⓂ️,2020,Sep,07,06:25:21,中国・天津の 南開大学の研究チームが、新コロナウイルスにHIV（エイズ）のほか、エボラが仕込まれていることを突き止める。,,ja
1.30286E+18,charoko。,2020,Sep,07,06:25:12,9月7日広島市新型コロナウイルス感染症患者(288例目) https://t.co/KJPoCZ7AUh,,ja
